Unnamed: 0.1,Unnamed: 0,Finnish,English
0,0,on ,is 
1,1,ei ,No 
2,2,ja ,and 
3,4,hän ,he 
4,5,en ,I don't 
5,6,mitä ,what 
6,7,että ,that 
7,8,ole ,be 
8,9,oli ,was 
10,11,sen ,its 
11,12,vain ,only 
12,13,minä ,I 
13,14,jos ,if 
14,15,tämä ,this 
15,16,nyt ,now 
16,17,sinä ,you 
17,18,olet ,are 
18,19,kun ,when 
19,20,sitä ,the 
20,21,kuin ,than 
21,22,he ,they 
22,23,hänen ,his 
23,24,täällä ,here 
24,25,olla ,be 
25,26,et ,you don't 
26,27,minun ,my 
28,30,minua ,me 
30,32,miksi ,why 
31,33,sinua ,you 
32,34,miten ,how 
33,35,sinun ,your 
34,36,älä ,area 
35,37,siitä ,thence 
36,38,hänet ,him 
37,39,mitään ,anything 
38,40,kyllä ,Yes 
39,41,hei ,Hey 
40,42,mikä ,What 
41,43,olisi ,would be 
42,44,ne ,they 
43,45,kanssa ,with 
44,46,pitää ,keep 
45,47,ollut ,been 
46,48,häntä ,him 
47,49,tässä ,here 
48,50,minulle ,to me 
49,51,minulla ,i have 
50,52,jotain ,something 
51,53,ehkä ,perhaps 
52,54,missä ,where 
53,55,tuo ,that 
54,57,me ,we 
55,58,oletko ,are you 
56,59,hyvin ,very 
57,60,anteeksi ,Sorry 
58,61,vielä ,yet 
59,62,sinut ,thee 
60,63,sinulle ,to you 
62,65,haluan ,i want 
63,66,olemme ,are 
64,67,tiedän ,i know 
65,68,tehdä ,make 
66,69,tänne ,here 
67,70,meidän ,our 
68,71,emme ,we do not 
69,72,saa ,weather 
70,73,tule ,Come 
71,74,paljon ,a lot 
72,75,siellä ,there 
73,76,anna ,give 
74,77,eivät ,they don't 
75,78,tätä ,this 
76,79,pois ,off 
78,81,sinulla ,you have 
79,82,täytyy ,must 
80,83,aina ,always 
81,84,tulee ,will come 
82,85,siinä ,there 
83,86,enää ,any more 
84,87,eikö ,isn't it 
